song_id,name,isrc
AJQOsWR+d8TYfx8K3IngAs9/GSQE5ujDqBx/8PYm6zo=,長大的童話,TWD951672101
DlAQf3mD3j4xyAD7bXsWbGhw/pBJ/c0t0aGYXzwAUUI=,Without You (feat. Usher),GB28K1100030
xxWLfkIEeQAeJD4tFLoqDvrDFoS1PGb5+NT3BepHr/s=,需要你的美,TWAG11600305
Lei+J7cMMTZ/9Hqei1i5RXmxKzcHmN+34Rt94dt2Qao=,Only one,JPB601157304
3f0Wlv5DSdOLfMlAmkwFDNYvX1lRd7KryObLttdPwtc=,兒歌,TWA470711006
9YYrODwrXpDcCjOJypHROv3f5z40y11QlmgQjmzp2vQ=,The Ocean,SE3AA1600005
5myS1WHBGGzoGGXLLGo/tIuHzWsyp0Ez0NoLWKdkA9Y=,IF YOU,TWA531512846
b+PzYLZ1kTLtCF9G5KJDs1vymuMPGH1f3KQTjTmhwik=,Another Fight ~ Inferno| Pt. 2,KRA031212610
qcL0etX8C811Zy0yaCO8op4ASXLJqLIMVp4qsmSE68o=,浮誇,HKG070510005
gOXfOa7zEH+aeT8XtGWkU8ubLUfYPJNhX4jHL19FEw0=,我會一直記得,TWA530901804
khJferAXL1Jo7NpEXfLc/ai6adXyF8CuBO7luzAay0s=,Set Me on Fire,TWA471505010
750RprmFfLV0bymtDH88g24pLZGVi5VpBAI300P6UOA=,FLY OUT,TWA451512031
U9kojfZSKaiWOW94PKh1Riyv/zUWxmBRmv0XInQWLGw=,不該,TWK971601306
e/upMhPFcXl3Rxq0Us1abr0FcThlZOeqKJhBobmltBU=,Shape of You,GBAHS1600463
mNW8RSazt1QOCa2fCvRPSvKrtWMJ/OzMOKmI5RtROx8=,Screaming Bloody Murder (Album Version),USUM71100346
FynUyq0+drmIARmK1JZ/qcjNZ7DKkqTY6/0O0lTzNUI=,你，好不好？ (How Have You Been?),TWA471602002
XgLDH2I0dmKXQNQTMsNyGSy5oz+o6o6jPTqj0I8abFY=,Just Like Fire,USWD11676311
reXuGcEWDDCnL0K3Th//3DFG4S1ACSpJMzA+CFipo1g=,帥到分手,TWAG11600306
QUrWWEuqMm2gk7Psw4K52GaWMs5+DaU7qeCc2UXyozo=,Don't Know Why,USAR10401196
6dcf5tF0yAHnvImMTy3/TvyKEo0VfnCiV2onEwB6EdM=,初戀,TWA210015106
XKBSWZp0ZEYpnEZIo0mR2GiAQ0fERhxdP3dw8VCxWVo=,Baby I Love Your Way,JPZ921115120
+g6Inb6DmNXkbtdNx1Jz2ProBuS3TnkUE27g++JvWsw=,不傷心,TWW471611003
gl189YpgR3OodAHMVmmEkQXC3usPmagKTnkSF1iWC88=,愛要坦蕩蕩(CD1),TWI431603506
Ot8WIXZXzvgZeZoCwcimfORgLbZJJdslmuvO1ufZB7k=,別說沒愛過 (Dont' Say),TWA211555701
3DU6F6k6dFSdoQa2tsia5spMXFCxWh4JJdA3OxSo3rM=,你啊你啊 (only you),TW2151620008
LaZ1cLXkh5gltKboKlPkECItu6Kry5QPrUxXSkjqNyU=,愛的初體驗,TWB879702703
7ts/X7COBBVcfOuGYNBEnxF/NF25L56jCmkCF81KAK8=,瘋狂世界,TWA459962201
PS6somGcm67JCqGGSF6dmT9U/rNwlM4ijTzIk7YOpmQ=,Riding With The King,USRE10000576
4TkPrKyrxTD3tK/OHZqprZfvp5t/UcbG6pLkZIqYk9U=,茫茫到深更,
2xyj32lIiLxSjZyDtITN1INnuRoMHDqLf0/DnEFRiXY=,LOST IN THE ECHO,USWB11200791
isW4S3tqJo5Tce1AdM19n6TG53UQkBzyLFmb2QWK/G4=,Standing In The Rain,USAT21601931
9K+br662CDlq+aK9IT/hcQ2aiibdnVnXiekmPQdGT7A=,你不知道的事,TWA471010004
oDG5WCyUlb9i/Sr34Fljeh0YsONZKxl+7jjUw27vm5U=,愛著愛著就永遠,TWD951343109
GbRwdtRpiAPXQXSxxxEy/8NQrIcX1VufiLC6aFq/X1c=,Boom X3,US5TA1600071
pzG4QNzLZsAh8ym0lqIM6EAFqDxYJ6qLPvn3wtc0tog=,在我生命中的每一天,TWA459130209
BITuBuNyXQydJcjDL2BUnCu4/IXaJg5IPOuycc/4dtY=,是我不夠好 (Not Good Enough),TWA471698001
XiVZnpyU4TtrNvfUplThrizR9FNz4ibqLdZjuL9AEHQ=,分開不是誰不好 (After the Love Has Gone),TWA211631208
IgMar/mVrJQ+ODFPytDf7jwQMmR09+slyZUdVylRFLc=,關鍵詞 (The Key),TWA531576504
OrYdxT0jW/+UUMI076UtHPSGVO4/hnKAWuYXQ+45Kj8=,錯的人,TWEM31011009
+YNQugtm4ddYzAu5wmFYhndbUt5YBt958WB8IPOqJWQ=,Kiss It Better,QM5FT1600115
Ms/qqKmHDWNplA2KCS2MB5qDsiwmojcTh68mmjM0Xk4=,Just So You Know(想要對妳說),USHR10622287
5nXM8NtYMN3FCc6m5QnMxvY9NJSkx2pWMJQfd6vMfXY=,新的心跳 (Heartbeat),HKI111500003
iUZZgSBBNMnkraJHV6oKYyOitUDfMHUBoB8iHvCAn5g=,下一頁的我,
kSLiGubAKwE/Mjj15GsF2yv+D3U3G/uFXoN04fl3cbw=,Wake Me Up,SEUM71301326
gG3/58uZyyOwaPT+eGWL81mwCzcDPW2EmwYcjWmvJSs=,私奔到月球,TWK230700701
2EV50iVQuX92nFsUzU2a3iKoNVN4+g2n1kabVAE2dwo=,Sexy Love(性感愛人),USUM70600316
iGCAy9Jbo+l9wOCzdba8lcV1aQFu3ngmfiqpOJecVYU=,Silent Night,QMVP91300031
vhQ/dbaOPFy0jHUX3LlSmADvGIfAuE51f9+GqqkfRg4=,Believe Me (feat. Bobo & Styles Of Beyond),USWB10504335
1UHqpOyecqH+8NytyogNdQz/2zUDpmHzUF5lgH1gvyw=,7 Years,USWB11506516
IV8kTOBKcUoO4fINEi+VTYzr7TdyM/kin+gapgzygco=,Unconditionally,USUM71311295
sB9s1h7EXR3G3UVsr9RHmfBDBkaALymumSGBzJw2uOY=,花的姿態,TWH630500006
JRa3KgSwWDyY17usXoi6jN8O6v6t6Tq4xcwjbUkbQFQ=,天真有邪,TWD951634102
9Mye00GZEfgGjypeluBMIrXFSHWR8a3p13vTNkEjlYQ=,Where Are You,USUR10500153
22lljqoaWZeeXtHg+Mm2tu3pxp9Rq8bu3W31zYBiw60=,甩開,TWK231407301
WJyW1Eqg3hXHl2+JB/qMSAQ/3VxqSNVvPniD/ReCo2I=,好想你 (I Miss You),SGB171500002
CGw+WjOTI1XDKv/8vwcdyD403nDdGmHk566UxNQkcko=,忘記你這件事,
r68WpYGT6DL3s4NTPB7bCFs5H/WJDpeR0927w4RGQY8=,夠了,TWUM71500056
NE5Q3WvlXbpdaHeHvnXqFEdB0CRRHTCfJVANZwdUicU=,Do Not Love Me,TWA531513907
VkDBgh89umc9m6uAEfD6LXngetyGhln4vh/ArCGO0nY=,如果我們不曾相遇 (What If We Had Never Met),TWK231680820
iDziWPWlMYqRHd0N9g/th3gtwo6uTKHaDamU1sGpvV0=,You Don't Know,USAT21500578
VkDBgh89umc9m6uAEfD6LXngetyGhln4vh/ArCGO0nY=,如果我們不曾相遇 (What If We Had Never Met),TWK231680820
fiU0EYJJ1IKCClsg7Pzy2f5eGABiXyJQvRJej05Mje8=,Rude (Zedd Remix),CAV161400034
Gg2PzKoeJx4PpHthrntB/9HphX2FHUunLAKTeH0eqWw=,她說,TWB671005201
hj73cUwsg1abFnMvai6KQTtEhFLYAwFMQOdM8rgFMcY=,You'll Be King,TCACN1616474
vLvRGCAj8JzTLygSB20eqIL6hSTzE7gf4hyYAguZp0k=,珊瑚海,TWK970500912
edL/zcswP79wI9OCATw1D58JoxzKgAX4z+T+8Xi07J8=,我的生存之道,JPES09600865
itxXLRAtaLyj+idcWIsuKB0AEzijUgPrMhAvAKUSE2k=,青花瓷,TWK970701303
a9U5cQghT8at3z7Uu4zcLQI2xREgfJT8ZRBxxc9VBKc=,Deep Down Low,USAT21500666
gyFetR8L8roT1u1eK3VST5dw646uwTgAxaEMWBDCBM8=,Lovin You,FRX281584640
FcbwzPm3n/PP+UZAjJaKFggjPSjyZ7YyxBA7LlheYi4=,Love Me Now,USSM11606983
JP0GJixHOHSNDsjKiQY2ttQKbDmWSk35JMMfPtR06BM=,天后,TWA531033402
I3+YmO5NDhYni4ZlVfZLnHBDt1SPXDakHGfRw7yrrWw=,Ready For The Weekend ft. Ayah Marar (Radio Mix),
m/isEYbpDVBeNSY0fPSfhyIbLDKOiWTYMEm631aMPy8=,一個人想著一個人,TWA531327602
w4Zku7HxtkAKl/BB8H81ZfWOXwnnmVbZBvFZeRPuRUU=,Blood Sweat & Tears,KRA381601892
Ba5+K9JWqAMZ7OFj42m6LcHsTetNma3yOqEK/LNauSI=,雙生花 (Twin Flowers),TWR131606701
EfJnvKhjaAl7I2+OAkPzFIq/FBvBjZurEKr4VGViqj4=,A Lot Like Love,
YNqK/CKCVSVM6nyGXYZdZyFwvp6U6OLGqF9wqJ4ZatI=,有機妹,TWUM71600093
jyZ94J4ZQegdb0/rVDp+pzvcgGJ9bqLQMufi257uh8M=,Fish,US5TA1600007
r+sCvClFqTNE7HCsP5VGx/JGxFKNgbm1/9ql1xhd91E=,Who Dat Girl,USAT21002400
reXuGcEWDDCnL0K3Th//3DFG4S1ACSpJMzA+CFipo1g=,帥到分手,TWAG11600306
btCkJ+36PyqHVRWb91BhbR6nnfHg7/VttbVzPBgkUmY=,泡菜的故事,
eGQfl1RkyY/DhlhwrwFOS3NgvNOkL4V5joWcLiqfVCI=,This Love (動畫<血戰BLOOD+>片尾曲),JPES00600741
bTlSHgnwaBMIKHseTFHanJ3Zr4x82ybrGkexpnxDhTY=,愛情教會我們的事 (What Love Has Taught Us),TWA471602008
Wh7idU+IByecq1EMjbgNBqZ8karlctJjhvMcrOCTEPk=,給我你的愛,TWD950522104
VGmTah8n0Mrk6LAPYQEdRXlLjM++rLUT2lceoeqFoGs=,Cause You're My Star,KRA381602557
LKMRPCovccijHSZlRY7jR8+QQHsqPvGHxrJ2XDd+LgQ=,HAVE A DRINK TODAY,KRA381602495
ktEDZOYsfrWelgSWIpL1s+Y03K9nyT04dSL0zYDVbhU=,餓狼傳說,HKC339400037
DbxvxF6AMA6jLTpWEt8LaXxctTDRZzht7l4wJbHAIsA=,Oe Tol I Ya,TWA531000586
OfpuwTTt9EGktoeAxggWAjGqbDxhVGKHyDM8j/bXwUA=,Today Will Be A Good Day,USBN20800045
/qACXz4DWYMsewFweG1Am756nW3YpOCNLphVoOopInE=,Don't Make Money,KRA491501033
ufjl9/oJJRQx/0JUEBaIeyE82HP0CF7Fy2LwOIiNiYY=,東區東區,TWK231205302
J4qKkLIoW7aYACuTupHLAPZYmRp08en1AEux+GSUzdw=,Faded,NOG841549010
5+zhAtJJEr+gyfUAvclC0zHLzCke5SdxolW5uCgiIpw=,沒事,TWAG11500506
bLPVv9FfJhSx4LUXSpk6UXQx8h0a+pLtspSpy4I2+NI=,Ring Ding Dong,
OLAMLf0VlV/KXbaOlrDrSWzPRW1P6iwKwHK931f9ZNA=,後來妳可好 (How Have You Been),TWD951601106
SKRQpz3EM5UIxT2LCGzK5k0aYg4QtyHWtr0L/EK6By8=,凡人歌+火,TWD951676102
gYCZbvFEc3qOmPpWK1PE/xumcMgf6dhOlDkQ/QrV2uk=,Tell Me If You Wanna Go Home,USUG11400558
PZBTX0XlGla6JavRrYjJEbuiIwS+9mfigDT04xJBPCs=,Why Nobody Fights,CND141400070
G0rUz0kguI35yzj95LX2BXI30PqCcJJtPNfirR0BhIs=,陪你 (With you),TWD251750501
fLcg1JwIF80DBi1D5gheP1WuO4IXt4HFSd19TZ6y61M=,Love Story,USCJY0803447
FuyPyntwl5HyUl9P3R99juacxgb76s4cz7Oumf/Gt3Q=,情非得已,TWB730110007
GRaVokpHF2Uk3hgKnyJ2mDSmHvie4lyE0i6l5rA2yWU=,Versace On The Floor,USAT21602949
2EV50iVQuX92nFsUzU2a3iKoNVN4+g2n1kabVAE2dwo=,Sexy Love(性感愛人),USUM70600316
USlCBjT5/KTkiYL+OTUezYd+CEPZQ7ApOP6tcYEFKTk=,我不想忘記你,TWA210420105
xCUHMhWlCrZ74szIFCohO0BAuwcrFIqmjFOEwujbTOg=,I Need Your Love,GBARL1201390
LQ+Hdhq03s7KqaQpaQa4U+kdEmUvUMeo8PkN5EhhYSE=,黃玫瑰,
BZDUCDtNKn2uADDIn1nPD4jpz7rYR2rWudvaRY76134=,如果雲知道,
9NmK2oRH7bf2f43F9A2GDsdufLH3MssIqUQZpYgowh8=,Embraceable You,USPR35412077
manJntA6j53MimRbUEbnEgHJ0O2k6MPy5Gn/ZCNLtgM=,I Don't Know,TWBR11607001
JP0GJixHOHSNDsjKiQY2ttQKbDmWSk35JMMfPtR06BM=,天后,TWA531033402
nz4zadXW0GsKGg0PjpLZo1FEwOmplv/zgjl+yojMRyA=,都是夜歸人,TWA559701001
upH6pOAUd+iV/MkpzeELvqEFoTEIVhsV9eML8N7/gUM=,In The End,USWB10002407
JE95YhQoknT4PDnhuE0ns30qX0l6qATjHAODu49o0TI=,Run,KRA381500658
gejw+3WlC2cQOxQNuDgKdFUxlI/Oh2p2SHlATx9XI4o=,BAE BAE,KRA401500542
tZZIbX96dQeuoM1ZUsliWV/Z8vOtt8MjjL4P2pOhZRI=,Salade De Fruites,JPTO00301349
TWcQbotRKTGOkzdGdc2I52nLaGRD4xjt6Ty8lJ4flVk=,You Are Everything,USMO17300533
cLFpNfRaN/++vu5P8Q+XRamIcXQ2NnF0Tu9uhGOROAU=,謝謝你,
Im33t8I9ZMlos6Uo0+rLt0NS5b72ozxgyLINqJh/avs=,Something I Need,USUM71301310
6AUf5DKW6kiFZLvYgyN5flQuapejeiVQ0nwhc5uTpQs=,Middle,QMZSY1600001
r4lUPUkz3tAgIWaEyrSYVCxX1yz8PnlVuQz+To0Pd+c=,很愛過一個人 (Loved Someone),TWK231680890
F48LS/DqAt1EnPHRezspUgYaZcmiOoyOD75UFpHenEE=,想回到那一天 (Back to the Day),TWA471602001
nt+hY8boPKCRNeo7Oha7roBlTsJMhStJvKL2jJ4DPEo=,我還想念你,TWD631417205
fCCmIa0Y5m+MCGbQga31MOLTIqi7ddgXvkjFPmfslGw=,默,TWUM71600075
QZBm8SOwnEjNfCpgsKBBGPMGET6y6XaQgnJiirspW7I=,年輪說,TWUM71600042
Y5pCgX8SWDp8A/qQsRHDq/rUgvjfNbaK3T/LKECRFjU=,THE IDES OF MAY,
7sD/47OK7UjsdmBjtLCUTIdX9Df8TjpHyOOeA0Koxy8=,小情歌,TWF670600303
JU+7qy+XADz9+jynH5dALAeMmR3MRkbXs8zMFrPRv/k=,小心肝 (Liver Lover),TWA451601807
fDBtAj8rHHCQGeSsDEeT0WA3gSp6p7g3z71981gFuQA=,我難過,TWA770200039
VW850gi5onModsvlRO53vSvoYKaKacPerBREC1Baa60=,Aftereffect,TWA531200448
2vF2x+ee0pr80jbeeGvdzwT7oUi/CBRGIFVVK/WFsP0=,Love Me,GBK3W1500404
v2icg4TNPSHPf9Lr87eTDV64VgemROw3Lz16Ztdjn40=,Sa rang hae,KRA381206097
YDPEq8VMDOftYnjNryOS5SWWwFxm1ptde/bK3GV8SKg=,Elastic Heart,USRC11400976
8MfpwhYW2MKgUi7dCUCgXVbMBrr4QJNb+uglFc3RDsQ=,Here It Is (feat. Chris Brown),USAT21500525
MwZaD94L4Wl4APdJSVQF5JPt+xH6hb2KtWpFsjwYUlo=,I Took A Pill In Ibiza,USUM71509342
kY5Jk+dhW71ZLfY1nBwXItv5hHwelSyDYErozRSY1Z4=,我被愛打敗,TEB439908101
mdCCBzf8lcOkZrP4t+RcrEFt2p/B7sftz3eII694UAQ=,Hotel California,USEE11300353
CXdtx7/QxePhjYwYFcXVv+lXjCDEGRJ9r/OC7IQXthw=,浪費,TWD951234104
Q8sY9HxFqYBR+rup3TpEz9DYL4pDSY8M7n75oGRSf/I=,Stay Away,JPKS00000481
YUZaRp3Yl+ib3P9JLHq+YQnQFkskDmUl/yKyVeMqh8I=,where is these laws(이런 법이 어딨어),KRB003116268
rAiqRygcZIO9Lr4lkJjjclIhZwcHuvY+ng0Lw28qp2M=,多年後,TWA211429502
YN4RQddNnWfgzWmRknlg1uXSdfnq+308BUtojTff17A=,Honestly,GBCTA1100367
iSeT593ZHK9Z4sjdyl7CWPlYXH5ln0nY+IZpamRDFX0=,我選擇原諒,
rMZlaGs5Of25iPgKC+BDoDTzJah6Un1JRRYGkKmFHkk=,終結孤單,TWA450160903
/GgZUQhPI/FEfpetN79CmK0gig4V2d0wiYQDGRbQ0Eg=,想自由,TWD951134103
T86YHdD4C9JSc274b1IlMkLuNdz4BQRB50fWWE7hx9g=,告白氣球,TWK971601308
A7xWQbpX8PCSanLLOALjd7Y3VR9FJwN7w9076bKxYeM=,LET’S NOT FALL IN LOVE,KRA401500590
4/ikc242Y7rGcqBAC7M5Gz1hag89GAsLPZyL8OIW46o=,沒什麼 (Nothing),TWA531593901
7KPqzl0ll9YR59/NuTEWBiRajCbtBLsvSHJB8tJBqEI=,New Divide,USWB10901893
LbZKAaCO8qNm9Tx1rwUxC+xoIR0i/erpV8PddOPyTec=,Don't Cry,USGF19142013
Ux3rK1D1CYTAqqPeA+Y2maByxcj6bq0PS1ALDROB1BI=,美麗新世界,TWD950206101
eqxaVLNhf6iD9YYfyFUFgDJPYQW05mRZuvXpk11NGl8=,Rave After Rave,NLF711501155
E4Cizt1qEcejAk2AwNGi14GqRmS4YiZjTlr9ryC9Q50=,你好嗎,TWK971101205
YKXNGyMdm+M370+YcJdqTDhPN1gJgBj+F5rmrdnPZT4=,只是不夠愛自己 (Love Myself More),TWK231609103
+5sWncPGLjAwJryvf21nLkY1Iy2QOyM7hs5IlFkr4Tw=,Save ME,KRA381600801
Lvw5DihYOmu1pD50BSP22nJD0dQka3FKeL2BdetF3sE=,寶貝,TWA470601011
rTQW8WbQb+K9DssUMY4Slzf+1mhVnjJXo7lnBIU5fpo=,花火(丁噹+阿信),TWK230902002
bCmDv8aIkMgo9OFaVMFaKcbaF8jLBJaINI70zGJwIE8=,不羈 (BOOGIE),TWUM71600056
A6MuRkekoHtBKhlSyFT7ieXc5yvDrzO2liPuYZmt2jE=,STRAY LOVE,TWV871600014
Z3IV1SDvl1NDlDZnsD106a5m0LZ6ePUSjimupgxMPls=,LUV,USUM71604428
GtbU7C2/GDSivSjLZplZ4kBY8B+5hrneBfMeTiOQPt4=,WINDY DAY,KRA381600999
lN9YrlC5+z1E00mGAzYcGN6DIFZyOdbgBkkByWwKBU0=,TOUCH,KRE171600008
/RYwZD+IL/0YEgpu71HgW9q6c2A80gr/fC/j0BmYGvo=,頑固 (Tough),TWK231610207
R1jBDtkVrNl3ZnI2wDe0RvFtZFgrbnqm4TKqIBAwggU=,不讓你,TWA451600204
uaU3VI7KA2xoQkGkSC4NNOMFmHL9R85kdR7eyY5Pc9M=,Once Again - Mad Clown| Kim Na Young (김나영),
e8f1wY98/qihOQnQyayAp9WR2Me+lQGtc0MnGuYluoI=,心底,TWL251600101
uo+x0VrtnOQhCthMkteMiQA1FJl8UVvotKjlZwxrCjA=,新年扭一扭,MYEB11650020
AkGAgvl+l7NTX5+LIPxRzIM96sWZ5emx4St/GOpGS+w=,Can't Get Enough,USQX91101158
NHoil0XauwQ7UHpQ8+DqNXBJAzjJSuQ+3J6jpuCnXyg=,這個年紀 (At This Age),CNC071600115
yM3nFSo90GWxt5jU/zXph6QO75ygGdfC+iw/T570XD8=,Winter Love,JPB600651801
JV6H9Lbebe1sWiyj8xoV288F01U9Eflz9fxtnq4HOio=,消融,TWZ451600004
7+lHFYrzIV3SSBbNlm1HjuFoEDbt6c28QaZtDNEM6Kc=,分手後不要做朋友,TWUM71300116
RMC9YbhmzMQpovaC95JudsdiXFWrtLhKOmd0HEOWVUE=,Keeping Your Head Up,GBAHS1500572
fUGs+CNuo9R1M6NQbuyGVFMJmTf0TSFHjYDrBglyuVI=,十年,HKD250331804
BhRKXRyb9YScgItl8s14hrvjwM6gyKpiz36zPrcLhOY=,Shout Out to My Ex,GBHMU1600060
xCzCsrLmPi47ibZPp/iRqvT4DqfRTyTnxfs3Y+fGWdA=,好天氣,TWA210923702
qGojvnoBITz6OvnsY3wF3Y8fcveh89RsbG5lE2tvNFE=,Jumpman (feat. T Rell),USLD90810269
vILpPUkwB9kl1UIigkTo1Bab1uPSf0lzDeLoz1XERHw=,幻境森林,JPQ700200072
7KXQssl1IsA4p6gWMeqoaY89rSCN2eT9gqV5Jw+RA1Q=,Feel The Heat,TWCB71616001
cy/YEASA1apSz1jjAiG+93ueH+8drQMOY4JAHYsrzbE=,紅蓮的弓箭 (「進擊的巨人」片頭曲),JPPC01300723
f5hbPY2JPa/OC0BOONNHrwbB7v6W/A6v8Whs674WYZU=,跳進來,TWU971402006
Omds7BiDQEPnRMtWDiT5JJY9pLrLkWGedCLYSqaIesk=,忘不記,TWK231205902
yciKx3VagNk6RuCqe0KbTbwl+cWXKVYWAeI8UFe9Dfw=,末班車,TWA531156609
lSnpKgBgkGyOFu8mF82Ot7Zc/BZwef02AG8S+BkPFD8=,ANTI-HERO,JPTF01511001
b6vmbrf5YoR/FeYMYSyXudHb9yDYY0TZPJz2xtQXFDo=,伴,TWA530928004
dPkWlgE0BAN5uJDCXmp0cm6JzIHnihw8fsxDN1K49gI=,Burn,GBUM71303482
tdD/4GxXp1tbfTIArIXBehmGhvGze7kAx7JQONH+pc0=,無常,
9aVVhHnlNxa4n1yZCQ8AJ5nXYI3Nn8eJarZEXJqaDvM=,離開,TWA211125910
vOZM+nsNJEf762lTbfBOLTASbidZsl39ou8OBo/Kwns=,在|也不見,TWUM71600011
7qRYuW7mEOcDASHrLq0H9QHjUgiNiudpjI/mSQ7tZrA=,Light It Up,AUXN21517240
QrMu9YrISn0tyw8AdE814JfjzT931EfHkagPYkPNl90=,落雨聲,
C9Q+aOgJa0NvzMb1lSZ/FF+L/upx4EJmySNqWWV6LEo=,overture               ,JPU901202101
80hnDqhSe9u2uIaLvDh1tCbwryzDrsf789zgDDF+k+s=,Work from Home,USSM11600251
WG6Jc3TmXPoyieHBx+xRtJbXW7Ua1MzW9L5m022vOQs=,Let Go,GBTDG1301198
eI/fppo6SzfnQ/zAbGxwgLQO3ImeYb/SEBqiRIsuleM=,無誠勿愛,TWA451408302
Ot8WIXZXzvgZeZoCwcimfORgLbZJJdslmuvO1ufZB7k=,別說沒愛過 (Dont' Say),TWA211555701
skkGDfVdprwE/YeVlVTRNN1mqHiMMJSvaOOjp6Tjg9w=,Live to Tell,ARF411001561
ulkpR67N0qF5y+6uF5AnIyDZRuXoMyu1hq1if0ZzMs4=,彈唱 (A Song for You Till the End of Time),TWA531576506
LnbFBEyneTI7mID7Pw+s14Kf3o73LucRxwS3Wpfjsf4=,Hush,
WmHKgKMlp1lQMecNdNvDMkvIycZYHnFwDT72I5sIssc=,愛其實很殘忍,TWUM71400047
MMoKU2oY4hxIRX5RUE+Ye+l5/Sdh0raVnasm/1gXu+4=,深情海岸,
Ht0mXYAMr2xZbkWcCBH/mBrLuuHrkUb5XdXqY8h/OHw=,無言以對 (Nothing Left To Say),TWA531042208
Xe9ly/jcr81mmLHn3BhUStZzuszsXfp5FcemOfDqcXY=,Intro+溫暖而綿長的，餘燼 (Intro+ Embers),TWCI11600007
09zsYTP091ir7LmFOJxRaFoVP0HWfN7Rt1CtaB23hxQ=,愛過妳,TWW471207002
08G2mgBMhElpSUfNc5MW07MJsOaFeQdEL+sapRrQJOQ=,愛戀魔法 (Love Magic),TWD631619305
CTwL9Gnx6QsaZ6+ygo/VHirN/XZKxlUJEB2VGQX8yjg=,稻香,TWK970801511
/AJOLGmFS8KNO+NCY2IDYtVZciqwryQG4Cjc1hK4g9Y=,咖啡,TWA560217106
J4qKkLIoW7aYACuTupHLAPZYmRp08en1AEux+GSUzdw=,Faded,NOG841549010
/QkZmuKY4PQGiEIz8l5OH1spdJG3ptc+f98eMoMOXAc=,Home,USUM71307496
6n0enLI2bmFG/5oWP2qeSsq7CywViBx02fheMqwlATQ=,會痛的石頭,TWA530920708
A80BUPpqE//wb4/OqGt/vIYZeJv4yL2KMw3Z5pYao6w=,唐山過台灣,TWF579025905
1LlvEAK/DD6jE+lmynOvX9jI6aZoK6wZON0zLBKWZhQ=,Up & Down,KRA031209577
e/upMhPFcXl3Rxq0Us1abr0FcThlZOeqKJhBobmltBU=,Shape of You,GBAHS1600463
