song_id,song_length,genre_ids,artist_name,composer,lyricist,language
Wh7idU+IByecq1EMjbgNBqZ8karlctJjhvMcrOCTEPk=,285257.0,465,呂建中 (Tank),,,3.0
VGmTah8n0Mrk6LAPYQEdRXlLjM++rLUT2lceoeqFoGs=,191332.0,444,Apink,Doublekick| Yeong Gwang Ui| Jin Ri,,31.0
LKMRPCovccijHSZlRY7jR8+QQHsqPvGHxrJ2XDd+LgQ=,231967.0,444,Zia,,,31.0
ktEDZOYsfrWelgSWIpL1s+Y03K9nyT04dSL0zYDVbhU=,273031.0,451,張學友 (Jacky Cheung),John Laudon,,24.0
DbxvxF6AMA6jLTpWEt8LaXxctTDRZzht7l4wJbHAIsA=,219149.0,465,CNBLUE,,,31.0
OfpuwTTt9EGktoeAxggWAjGqbDxhVGKHyDM8j/bXwUA=,309429.0,2122,Dianne Reeves,Dianne Reeves,,52.0
/qACXz4DWYMsewFweG1Am756nW3YpOCNLphVoOopInE=,195512.0,444,Unpretty Rapstar Complation Album 2,Sleepwell,,31.0
ufjl9/oJJRQx/0JUEBaIeyE82HP0CF7Fy2LwOIiNiYY=,188708.0,465,八三夭 (The Last Day of Summer 831),阿璞(八三夭),阿璞(八三夭),3.0
J4qKkLIoW7aYACuTupHLAPZYmRp08en1AEux+GSUzdw=,212750.0,1616|1609,Alan Walker,Alan Walker| Jesper Borgen| Anders Froen| Gunnar Greve,Alan Walker| Jesper Borgen| Anders Froen| Gunnar Greve,52.0
5+zhAtJJEr+gyfUAvclC0zHLzCke5SdxolW5uCgiIpw=,231967.0,465,溫嵐 (Landy Wen),許媛婷,大A,3.0
bLPVv9FfJhSx4LUXSpk6UXQx8h0a+pLtspSpy4I2+NI=,233221.0,465,SHINee,,,31.0
OLAMLf0VlV/KXbaOlrDrSWzPRW1P6iwKwHK931f9ZNA=,243461.0,,動力火車 (Power Station),,,3.0
SKRQpz3EM5UIxT2LCGzK5k0aYg4QtyHWtr0L/EK6By8=,216398.0,458,田馥甄 (Hebe),李宗盛/王力宏,李宗盛/張惠妹/施立/王力宏,3.0
gYCZbvFEc3qOmPpWK1PE/xumcMgf6dhOlDkQ/QrV2uk=,219567.0,465,Various Artists,Gregg Alexander|Nick Lashley,,52.0
PZBTX0XlGla6JavRrYjJEbuiIwS+9mfigDT04xJBPCs=,243252.0,465,華晨宇,華晨宇,華晨宇,3.0
G0rUz0kguI35yzj95LX2BXI30PqCcJJtPNfirR0BhIs=,260806.0,458,范瑋琪 (Christine Fan),饒善強,鄭建國\曾福明,3.0
fLcg1JwIF80DBi1D5gheP1WuO4IXt4HFSd19TZ6y61M=,233871.0,465|1011,Taylor Swift,Taylor Swift,,52.0
FuyPyntwl5HyUl9P3R99juacxgb76s4cz7Oumf/Gt3Q=,274065.0,465,庾澄慶 (Harlem Yu),湯小康,張國祥,3.0
GRaVokpHF2Uk3hgKnyJ2mDSmHvie4lyE0i6l5rA2yWU=,261250.0,465,Bruno Mars,,,52.0
2EV50iVQuX92nFsUzU2a3iKoNVN4+g2n1kabVAE2dwo=,220775.0,139,Ne-Yo,,,52.0
USlCBjT5/KTkiYL+OTUezYd+CEPZQ7ApOP6tcYEFKTk=,245864.0,465,郭靜 (Claire Kuo),嚴云農,黃忠平,3.0
xCUHMhWlCrZ74szIFCohO0BAuwcrFIqmjFOEwujbTOg=,234544.0,465,Calvin Harris,Ellie Goulding|Calvin Harris,Ellie Goulding|Calvin Harris,52.0
LQ+Hdhq03s7KqaQpaQa4U+kdEmUvUMeo8PkN5EhhYSE=,278465.0,458,刀郎,刀郎,刀郎,3.0
BZDUCDtNKn2uADDIn1nPD4jpz7rYR2rWudvaRY76134=,321248.0,,音樂磁場,,,10.0
9NmK2oRH7bf2f43F9A2GDsdufLH3MssIqUQZpYgowh8=,288577.0,2122,Sarah Vaughan,George Gershwin,,52.0
manJntA6j53MimRbUEbnEgHJ0O2k6MPy5Gn/ZCNLtgM=,235520.0,458,王詩安 (Diana Wang),Skot Suyama 陶山,崔惟楷,3.0
JP0GJixHOHSNDsjKiQY2ttQKbDmWSk35JMMfPtR06BM=,285466.0,465,陳勢安 (Andrew Tan),,,3.0
nz4zadXW0GsKGg0PjpLZo1FEwOmplv/zgjl+yojMRyA=,298144.0,465,許美靜 (Mavis Hee),Kah Beng Tan,,3.0
upH6pOAUd+iV/MkpzeELvqEFoTEIVhsV9eML8N7/gUM=,215992.0,2022,Linkin Park,,,52.0
JE95YhQoknT4PDnhuE0ns30qX0l6qATjHAODu49o0TI=,236657.0,444,BANGTAN BOYS,Pdogg,,31.0
gejw+3WlC2cQOxQNuDgKdFUxlI/Oh2p2SHlATx9XI4o=,169456.0,465,BIGBANG,,,31.0
tZZIbX96dQeuoM1ZUsliWV/Z8vOtt8MjjL4P2pOhZRI=,190914.0,2122,Lisa Ono (小野リサ),Noel Roux Antonio| Armand Canfora,Noel Roux Antonio,-1.0
TWcQbotRKTGOkzdGdc2I52nLaGRD4xjt6Ty8lJ4flVk=,186305.0,465,Diana Ross,Linda Creed| Thomas Bell,,52.0
cLFpNfRaN/++vu5P8Q+XRamIcXQ2NnF0Tu9uhGOROAU=,356754.0,458,刀郎,刀郎,刀郎,3.0
Im33t8I9ZMlos6Uo0+rLt0NS5b72ozxgyLINqJh/avs=,240001.0,465,OneRepublic,Benny Blanco| Ryan Tedder,,52.0
6AUf5DKW6kiFZLvYgyN5flQuapejeiVQ0nwhc5uTpQs=,175542.0,1609,DJ Snake,William Grigahcine| Adio Marchant| A. Kleinstub,,52.0
r4lUPUkz3tAgIWaEyrSYVCxX1yz8PnlVuQz+To0Pd+c=,249984.0,458,丁噹 (Della),張簡君偉,葛大為\張簡君偉,3.0
F48LS/DqAt1EnPHRezspUgYaZcmiOoyOD75UFpHenEE=,265824.0,458,Eric 周興哲,Eric Chou,Shi-Zhen Xu| Hui-Fu Wu,3.0
nt+hY8boPKCRNeo7Oha7roBlTsJMhStJvKL2jJ4DPEo=,239281.0,465,畢書盡 (Bii),畢書盡+天才,天才,3.0
fCCmIa0Y5m+MCGbQga31MOLTIqi7ddgXvkjFPmfslGw=,283747.0,458,aMEI (張惠妹),Lei Qian,,3.0
QZBm8SOwnEjNfCpgsKBBGPMGET6y6XaQgnJiirspW7I=,266448.0,458,楊丞琳 (Rainie Yang),Yu Jie Zheng,,3.0
Y5pCgX8SWDp8A/qQsRHDq/rUgvjfNbaK3T/LKECRFjU=,209084.0,465,Note For A Chil,,,52.0
7sD/47OK7UjsdmBjtLCUTIdX9Df8TjpHyOOeA0Koxy8=,273554.0,465,蘇打綠 (Sodagreen),吳青峰,吳青峰,3.0
JU+7qy+XADz9+jynH5dALAeMmR3MRkbXs8zMFrPRv/k=,237888.0,,八三夭 (The Last Day of Summer 831),八三夭 阿璞,八三夭 阿璞,3.0
fDBtAj8rHHCQGeSsDEeT0WA3gSp6p7g3z71981gFuQA=,283951.0,465,5566,Zhou Chuan-Xiong,Chen Xin-Rong,3.0
VW850gi5onModsvlRO53vSvoYKaKacPerBREC1Baa60=,222223.0,465,ZE:A帝國之子,Brave Brothers| GALACTIKA 1| GALACTIKA 2,BRAVE BROTHERS| GALACTIKA 1| GALACTIKA 2,31.0
2vF2x+ee0pr80jbeeGvdzwT7oUi/CBRGIFVVK/WFsP0=,221982.0,359,The 1975,Matthew Healy| Adam Hann| George Daniel| Ross MacDonald,,52.0
v2icg4TNPSHPf9Lr87eTDV64VgemROw3Lz16Ztdjn40=,247013.0,465,RAIN (정지훈),Rain	|JR GROOVE,Rain,31.0
YDPEq8VMDOftYnjNryOS5SWWwFxm1ptde/bK3GV8SKg=,257314.0,465,Sia,Sia Furler|Thomas Pentz|Andrew Swanson,Sia Furler|Thomas Pentz|Andrew Swanson,52.0
8MfpwhYW2MKgUi7dCUCgXVbMBrr4QJNb+uglFc3RDsQ=,192783.0,1259,Flo Rida,,,52.0
MwZaD94L4Wl4APdJSVQF5JPt+xH6hb2KtWpFsjwYUlo=,199134.0,1609,Mike Posner,Mike Posner| Martin Terefe,,52.0
kY5Jk+dhW71ZLfY1nBwXItv5hHwelSyDYErozRSY1Z4=,271743.0,465,張宇 (Phil Chang),,,3.0
mdCCBzf8lcOkZrP4t+RcrEFt2p/B7sftz3eII694UAQ=,391314.0,2022,Eagles,Don Felder| Don Henley| Donald Henley| Glenn Frey,,52.0
CXdtx7/QxePhjYwYFcXVv+lXjCDEGRJ9r/OC7IQXthw=,307200.0,465,林宥嘉 (Yoga Lin),鄭楠,陳信延,3.0
Q8sY9HxFqYBR+rup3TpEz9DYL4pDSY8M7n75oGRSf/I=,238840.0,2022,L'Arc～en～Ciel,,,17.0
YUZaRp3Yl+ib3P9JLHq+YQnQFkskDmUl/yKyVeMqh8I=,221936.0,1609,Ailee,,,31.0
rAiqRygcZIO9Lr4lkJjjclIhZwcHuvY+ng0Lw28qp2M=,261955.0,465,曾沛慈 (Pets Tseng),潘琪妮,潘琪妮,3.0
YN4RQddNnWfgzWmRknlg1uXSdfnq+308BUtojTff17A=,216293.0,465,Kelly Clarkson,Robert Marvin; Tom Shapiro; Catt Gravitt,,52.0
iSeT593ZHK9Z4sjdyl7CWPlYXH5ln0nY+IZpamRDFX0=,272927.0,465,莊心妍,李風持,徐梁/張馨月,3.0
