msno,city,bd,gender,registered_via,registration_init_time,expiration_date
RpF2jQAuXXVaP8FB2rV/pQ2jmAYJrcFxt+6d8Fi6hRA=,15,26,male,7,20140316,20170402
7xiBI5xU3P2/IiR9teB7jySfzWo96JGikGajteLd3Cs=,5,41,male,7,20130909,20170923
aW5wmYfRiSfTW1/beDZ7X9AqI4akX/5k+qVH+aFpQOU=,1,0,,7,20120729,20170910
zGCW1E8ZJXXdegDttRajOUm626FY1GmnrqJR3gVAK58=,22,16,male,3,20150227,20180205
+0B4aHABar5ltaWDG4M6KCzNxpD6wnsvZpvh+o9KgtE=,1,0,,7,20120807,20170913
HnEOu8bAfun2jxfuxbfpxxFPaduB/SRxepPSSr966gw=,13,38,female,9,20070104,20170315
xvdwjSvFs7NduG9z1ZZ0jbr0HuFW6t0rRG+JChoR/SQ=,18,31,male,9,20100416,20170921
jYiR2IiN1N1+5S0rTAH0iEWC1QQtEmGJOvkwhvJRPOI=,13,24,male,3,20120513,20171014
RzhTfn+9ZL/agg3KU+w3OV771vPZBdME/zVw8L+JqE4=,22,17,female,9,20110630,20171002
fYqToS9fYk/Cobn9wbBrD4w5y2L2sOKGB20aNAm5mAs=,1,0,,7,20130107,20170930
+cXh3yfLHQkG2zb4pu2xOw58wS+MobODHMMfi/F/Z4I=,1,0,,7,20160810,20170910
qk4tooaZEoXFAJtONX3ZjLFvfY68byFY5advVZHEgMM=,13,33,female,3,20121205,20171216
LG/BLgJxw5AvXy0pkgaHYYWeU7jKS+ms/51+7TaBY9Y=,1,0,,7,20130601,20171001
GpAtOIBXUN69hGFf+lend8FHhhFaSUSvJWvhebb3mBc=,4,0,,4,20160107,20170111
psxYsoxv369FI9I3dG8bjAd+ifJZ1Ysr2WV9UqLh6NM=,13,0,,9,20151009,20161128
cY/eIkKFLFjwFMYZrrgUV0hSA8eHdx7BMdrJCWiJiuY=,5,40,male,9,20090830,20170924
tCmA1Q/xBWh5prA0nTTuG5o5Ob0uRa9BFS25x46Pmiw=,4,28,male,3,20130926,20170907
k4FVXwOW+H6GP5GPklub7jE6bgX4E5Xg9uIxq+BI9iY=,13,55,male,3,20161016,20171020
BVH7onzVzpV6ZeUxvbxgZNPTrVuzMEnWpztRAs69BI8=,1,0,,4,20161205,20161208
ForDd46tCwQ+io69ZWEEU7KRvneJwsokrSTJT3TbWTc=,13,30,female,3,20121106,20170914
jsdl15wWQxlxaCtknTPdeOWAM4SCyGlIo7Ly1ci5k8c=,14,23,female,7,20140929,20170915
lSkUSnCm60kDLdEsnAVp6jwr2HkyIhDCEZLX82djjHg=,15,27,female,9,20110719,20170927
eYixI3byEMCkd/VsE7SvE7DUUYdBa5mv/9US31f0b4Y=,1,0,,7,20140716,20170930
owY680B7Ob7a6BE00HMWNldF/Vdmf7yP76pchOGqnpU=,22,27,male,9,20060704,20170930
hYeJ1yVWZdvUkdfyB67i8vAy49KW+eKz1aZX8fz6ouA=,1,0,,7,20151011,20170910
aAHpjH/HMTngQuoWR95lesCj/9DFHW/LmeHNxVRVXKs=,1,0,,7,20120117,20170930
f5sISJoWXgYwdWoUk2MhQ09QVzTl/HAYk7Sh0cUMovw=,4,34,male,3,20160812,20170917
pjNAHrXpRTmp0oo2abgDF6ZvP0s97oeLkrvgsCq2qzw=,12,28,male,9,20090919,20180723
9kpOxTtLYYBxhqY95DzNarepZiStHlTqBgcUthuF4nk=,12,30,male,7,20111222,20170930
vuVACkUQZ6quy0fdkaQa2ltGlOXl5BsznoCmfnVs1n4=,1,0,,9,20160312,20170130
LlhTPSCiKGJg2LY8UQGcYmJAxWXxoea7oclcS5mxsl0=,1,0,,7,20160813,20170912
5/1A22yX5q/nykf7jq3of90f8j2Wo5N8EgpZypfsbF4=,8,42,male,9,20101126,20171108
JvtKNwRL9xBP6OXdcgBTgKMhPsBIJdqgFH4lgJ8EgXg=,13,22,male,9,20090408,20180305
MfH17QACmfD3qWuumYlXVjzydmmg/WxgUDb/x+AULNY=,5,0,,9,20120927,20170915
EyjV71rmsr1qCl4sXkWL80BbUSfnBB2aHw54naq7nWg=,22,29,male,7,20111123,20170930
6aQj0J6OpbngLSJM3Fw3Ipmyv/MLiQfEDFfA54pVr8I=,5,37,female,9,20101110,20170912
35WqCSyEGVtcJ7Rlokj230KXHRAZoN5RMmP0D8sy9eA=,5,24,female,7,20151217,20170916
a3fU2IJ0gJBXY05vBHrtBv4YTr8R+wIPrV0QYmeKCUM=,15,17,female,4,20161127,20171004
z81IiiZlppoV587E7OQ1+0MayYELS1wVs3ANw5H6p+E=,13,18,male,3,20141029,20170926
Z38eXUg0Z+C/uhVRiDApQpiEbpDnrZk2hryQTGuszzE=,13,29,male,3,20150811,20171006
atafc9ZVEN/KfaA2Kr66MVkAb4Hjgy1k5DGuhNhXhlY=,6,25,male,9,20131128,20171010
ApNtGqgblYAAODhZoGyLj0mo/U/i6B8+RjXWMXufFWc=,1,0,,7,20150704,20170513
WlY+C2de39UKBu3WBFAx5KCQVoI98M9W4Br4FV6IdF4=,1,0,,4,20161109,20170913
slseA+U+/kU1rGwHDqmt6hi+oqBgHzkvPd5CscJK46E=,22,39,male,3,20130915,20170913
ebiKMlhFlvP6nHHHgs7iq3VcehfIDe5dTFGmNySlgdE=,15,27,male,7,20140311,20170930
ARVxbKr6NHDSK1zYOVzwzCj4TbOxhQQqqpKK/e9DYbQ=,11,24,male,7,20141224,20170923
+v3Yb0JyJLAcO1kSPQX943NaYJC3uLyzcqvCmo4WgsM=,17,26,male,9,20090708,20170930
uA2LViRUTtKkbghOYtK8R0zlARh/T/qb9AGKQEfnmPw=,5,22,female,9,20141227,20170615
Lhd6+UX+tfVBBPtcoL2VnAQFFZoTw6jMgk0sh3Bjvsc=,1,0,,7,20120111,20170920
YaHcn7Mo2gr4Jq5XmdQzgI9eqOxnGaJYKHXabjNMGbw=,4,22,female,9,20130815,20170919
crUeQ6DYDHHRNYmn+n5Kodfvu9ki0IdHfXHNlZEUPHs=,13,22,male,9,20140614,20170907
PINV6dua2qHSWF+RNl9i8o3pi99hih1on5X772MZbQo=,5,25,male,7,20140102,20171006
bky2CDHIbj0sGUCpydz9g23eAn5g59XvaPDgUzAb5WY=,1,0,,7,20111209,20170909
oF4/dEI3s3hXR+xju7VnDStzgYFCCbueQaw2MFeuGpc=,3,18,female,4,20151028,20170815
XTnllbK93wVdaMdsjQJ6YW/oZJSkjd8QrjSR9tkj/DY=,5,26,male,4,20151214,20161206
RpEAnzEdy1l49lR1feLs4HNjgPfgvmYs6DPRgx+gNIA=,4,27,female,3,20130724,20170930
aBkvUDa132BH/edUbcef7SdZT/p66xrDVFsuu/RmUWs=,15,40,,7,20140114,20170802
cSvxwEBUURiYWPqIpqM0mSARldz3NFZVmj4tXnVUNVw=,5,25,male,3,20160111,20180716
21hXzaNga46qXx7CMbR4SStB5t3JA/GXzOu+lMJjn3Q=,16,24,male,3,20150408,20170810
Uu+KMBKtMO2Fvc66JyIpKvHcCTdcOWl1jow5DwPU18k=,6,24,male,3,20161102,20170812
9tGFtmW/1Pa5z/IwysZExY9c+hIK0QC44KhJt4hLYsg=,18,45,male,7,20101014,20170915
+jrfpsiSRAGGpmdqK+EzG95urmsCv7Hk+dtw/hae+jk=,6,34,male,3,20130310,20170911
31kJunxALf8nYTGbp84acbrjVRxuh7ejQSY6XeXyRGU=,1,0,,7,20130928,20170930
ckGA5itNOxdmqUTRHXSXvbQ5yHaNT9k8Cwo+jHEi1Io=,1,0,,7,20120117,20170911
q7TxmAvZ9CpCart+JqUuxOdpyH22xSNxPW8xrzz1waU=,5,29,male,9,20110727,20170928
xrAn3zcsy0QcsrKWGAbd28ecjBShB2cYET3llhcBbKI=,13,27,male,9,20080116,20170930
ZctBSwX4Zc7rAODeCKsj5eLzZSNPmxwUQfQPOiV1KEI=,1,0,,4,20170127,20170130
6Odpc4gj8zbIhAlb1H3XOR0k6LpAfMAObJGbD8xkivc=,13,31,female,9,20111012,20170918
jssQ8BOcKtDc44HTJ2x0ZIINkfSEBgTJfOb20vpYtwc=,4,14,female,9,20161113,20171110
GkW5eOX09GTyC9zZ9chmdkqmhMUUrOcJDp60u4Xyd3E=,13,23,male,9,20111031,20171027
tLooo5MAY0aeck2TysonPpApJUeOh0ifgn6K8DZixfg=,15,28,female,9,20080426,20171002
tZp3alSXt7tzTd1kSKAGV7YJgIZAIRzC8pG6o63e5Do=,13,33,female,9,20070729,20180323
bswzym/FwWNSvP0ZwUXXvjyPzGM29Szu+dWUXk2EKn4=,5,27,female,9,20060201,20180317
E9YC2ESyCjpChhfWJdQyu7gJC0qY77bceoDrMXAtiyo=,5,54,female,9,20110716,20180530
kAmjE2M4BWa+jq5gqR0s+KwkdlZz72j4wCI6I5PMHK8=,13,32,male,9,20060217,20170922
bcMQarvs9GQpeh/qLnQQ6fqxxOTl8lqz7yo6ggmseUE=,4,17,female,9,20110301,20170716
MpHsCCf3Y+u+cbviv0sHdin5LIGb3X8Qv5wbqllwS00=,1,0,,9,20160405,20170918
cawN/88OIgfzw3o43QBFJM8QL+H12koa4U0VbEAUCnM=,1,0,,7,20151104,20171004
xOcnM7P99ahRBFLyDk3AH49r7BitiiMjSgTIk28gpsQ=,15,44,female,7,20130129,20170930
i2RfHaOy5mxm8Jn0IuZy8y0Zi2TwNllI/SC9Irw72cg=,1,0,,7,20151030,20170923
Njaf6CU8NcFwbSDUP7Ml0qGp0wpQVWY6eeGyi4jMA+g=,22,18,female,9,20110705,20170930
rEX6MCjiOH5cqTy407vN273ALq8BrKpNkVknBrSC1iY=,1,0,,7,20140511,20170910
n+FmCFKakiBFTS2+pGiRDAhGbchozOrUYALfrKVN6Lg=,1,0,,4,20161009,20161009
CINNW1Qj+rjF2IYqhhLJ/wnyzyFo1ZnTQH49lMux3mE=,6,38,female,9,20091016,20170922
Feijk5yd9zlr+UfB8Jsa1hBUen5t57MfgrkRyAxn9Qo=,11,27,male,9,20120519,20171006
l/0+VSu3Kyu46EZTVIjJNbLt8Z4esWNWcL53qUrI3BE=,4,33,female,9,20061217,20170926
uKg9h4w3vN3A473AXKNVS4lP9LoxdQmE6aPlcdmtDEc=,22,21,male,7,20130308,20170930
1BCNx+eNVUU/REeBR8R+NPIcZ6aTnvQPu1DawAtzO0w=,1,0,,7,20151213,20170912
RE07EYyFIDr70WvaBBh2IrwnaW7wds1CDItoy4aaxf8=,5,46,female,3,20161217,20170616
8b3kzf9HpaP9M8ytlqUN7W4BRk0XuJfPFMKEX2HD2Ac=,1,0,,7,20160213,20170912
q+yObk0Zbr3TUdx5MEzMrH3fcNPpx7vv4mc+V3G+e4I=,15,16,male,3,20111217,20170717
seCAF3BxD0pfbDcIBhBT2uWoWAJ+KcxUZ+Mm+WbojS0=,1,0,,7,20130629,20170930
u3g6JVGfbP3kxvJrdUX4jDyF8+eEDl4CE7k2Mpn+/As=,15,32,male,9,20111127,20170710
53blBrNlWm8dJVZrdlNUDYWsiyo802MmeBrW5YOSU/s=,13,29,female,9,20101128,20180622
pmLvLGYoeK8DueiFa3ZJWCejMVv6B+SpP6owXUDQiIw=,1,0,,7,20100622,20170922
H5DWyI7bujtol5aU1pzvLdfBAs45Ym/5jicdUlerf2s=,13,0,,4,20151216,20170925
gvMvO3fugbWPFz0ChXjDVM3UUMG9UP8EKw6wUXCXdQA=,21,31,female,9,20101008,20170223
IwmWeRJ/tdHPihFzBZN5LcSHKzMJxuXqS/XMYI7Xapc=,13,31,male,7,20110328,20170913
SKSxA6/cFUzCeFzqd1/ydLrPlTMV4PsUCCBn4nAMUSE=,4,24,male,9,20140313,20170909
MTMvld3LXtpnZ7+3UR+cnwpSon0p5uWFTtvH5IkwaqM=,5,21,female,9,20111021,20170930
LHfqNO1iiHWYtPQPI/S4yOr30P/fINITvhuo5EmBibc=,10,27,male,7,20140507,20170919
38LUs5mVWNKfyjL7ilf9JCnWZLjnno2obLXr69JJKcw=,21,25,female,3,20140607,20170708
wu+me4V2TST5DxSbWsFrX6cVpsXAvdsx+6VVUDz6S8U=,1,0,,7,20141006,20170930
x9/kfX3LphD/NUPZ5cxO2TY6R4hDPmzpZgG0jcZr6zw=,1,0,,7,20110225,20170921
Qc0YyTxIlVAf1yZ79o+mC9nnftJ+q5tAxc+FFgBmvWo=,4,35,male,3,20130102,20161215
uzvUhrHcIK1Ym6OIp+7litRM/ff6ZALONdu8QFPR0Kg=,1,0,,7,20160131,20170119
kZwYuBf4ePWgGx80OUOsdMfexGHSD95wH5pZNXxrK1Y=,13,26,male,9,20111204,20171006
OW9b2O1LfNZ6vmI1zlZsZEBHm8FJU4BjFX674ic5E6A=,1,0,,7,20150703,20171002
u0Z7eLy8qGnD1vLmcx/CFeEGk0IWXVM2HUO9She7Vy4=,3,33,female,3,20131224,20170612
lc8/HRnjiaPsc/cZ6o6f6uKCAwn1opP43648Mx5dSe4=,22,18,male,9,20141129,20170904
aNUTjyCvb6lAwjKRVBbtwOoifJAwJfSkdpDIx44TRoU=,4,22,female,4,20161126,20170812
yiGYGWyGrCYHlMOtPv65urw9RfdH43PNGzu8TRaO+m8=,1,0,,7,20140327,20171004
uM6QJ7+try0hLchf7PuiyWg9nRmNXIo9tZAYuHDTeOo=,1,0,,7,20161230,20170930
gW6QUmLJvCbk5e3IMwNS0Qn8WnowMiSx68ENUX/v45A=,15,25,male,3,20140507,20171013
xEeMEDdDCvfLGt6eoayVgVh48nLdPvEm1XzwzY6lT58=,3,0,,9,20160107,20180515
80Vp7J2h8fQfMfGCzikjfMOQVd42ITMQy8o0YXzjt54=,1,0,,7,20111125,20170914
B2Bj6if0bb04UEvQzpaLl5p+jXGI5g8DP76KPlKuUe4=,1,0,,7,20131208,20171007
xqt9l1/pqDwsmDzzA4RfCeq/rmCCIbaWDC+yvgcDyCM=,5,36,male,3,20140426,20170814
ghJerR3Ei5zQIMzj/+f1O/31NWxrRJ6jfJwkwx3Ujdw=,1,0,,9,20140802,20171001
2dlGOjjOwtdP8Yvf3SwgEHxC7DAtShs3mWi8JehizbU=,22,23,male,9,20130302,20171006
gzvmbIJUpL27IpnNvpGHRAE50WYIgnShjTdbdfgpemI=,22,21,female,9,20080318,20170405
rn9bZVsz34wBXQz3qMptWrNUwct6e0llFJBQOnmKEXU=,18,26,female,9,20141102,20171005
4z8S33gWIX7MSsQ+XlJJfUtvFuKxCc2ClmyLjg4USWc=,14,21,male,9,20080619,20180518
OcF/3GZaWYwZ9vjvcgNhFrkLQkGhVuN0k4rJNU7rEGE=,5,36,female,7,20101208,20170916
2DU+vcUVAwQZ17mc6+uEf/HBFcHl094R2GKxNQO2BXo=,13,28,male,9,20140602,20171003
oqq72dti618A/fTn3qbV7SioKnaPzE6LnpEuFcpZIQY=,4,53,female,4,20160810,20171025
RgygWvMTnp+M7tKJEHJo1w9sYgWwE+/hpXUA2NGj7v4=,1,0,,7,20160418,20180804
JzgBW/p1S+oDmn/f9d973k4TQHuG34I/4VUfLMhdbKA=,1,0,,4,20161204,20161207
uJX7HUMAoiaHpcfY5avQ8qZ0THR88qfzxoXTzUImF/4=,13,36,male,3,20130124,20170930
kvRxHi514EY2/4FzahC/vBf/Zn13/3ZwXweeepjewzk=,1,0,,7,20131219,20171004
1Q36CvRSCLKXv4gMJ8gLRlh8oRYw9l/22fL0izCve9M=,15,29,female,9,20110311,20171026
6aKz8zD8bJI3ZWgQEfCUDPUPPHpFroqBHOd79Uhac+Q=,5,29,male,3,20130126,20170924
KP2x1uFgVdHsoI1OXiV+hpf/e2BiM/BftYi3hHP6WRk=,1,0,,7,20140612,20170911
x12pyUG5F/AB29yKTt5X8KJh9HtQCfMkAPcIe/jErWk=,13,0,female,4,20160803,20170917
FSMDe9+Xp07rF18kPvTscAW9AQiNk94B1xBBBcoIOkk=,18,27,female,9,20081230,20081231
4+CUbeYjtl1el2uCCXsPaFJFggV3CPG0kajuFvTbFV4=,5,35,male,7,20151112,20170911
MVedCWVjthBjhFvtOdcxeszX2kQAyO4ogfjQZowDuoA=,1,0,,9,20150128,20170419
3mt1zZ9tQ6lWXnPzPgPHc8Z5f3WziChg3PYnSinBvJI=,5,26,female,9,20060305,20170930
cwyJueBC2115jDABgUIs0v0t5W5hu4i4dnEgECWGPM0=,5,27,female,3,20121023,20170908
+hiTDGAu7lze7WF1KeBy3A9kXuMxIbQ4HOsJHFbWNw8=,4,22,female,9,20120518,20171005
tLcvkpd00uGTui3ePTzhtjoROkCJ8PWdajvfrTCUijM=,4,29,male,7,20131120,20170827
x9ufl4l71oLaYV4Ja/q3fyTwwYZZBRjDtlWy/8rZ7jg=,13,28,male,9,20110527,20180510
oYzmmcm1S+aMo/zwf/8jnuVJaTnl7oPkTZgyWrj3dWE=,4,28,male,9,20110308,20171002
0bgoCdRd/gvL+6PhJEi9Q69Ok71N24OziMajYh30mTc=,6,24,female,4,20161227,20180216
THRnoe6r6Yj7hTEHpeF1Vr/YYI3ssnKpoGNNnpQV4Bw=,3,26,male,3,20140928,20170327
0OhbrpfXFQR4O628gANmHErrY3cq5vZUg9AzYfPWl2I=,1,0,,7,20160313,20170916
47U9pg+hnKlX/WmguDQf++mhIIEBGOFdp1dZ+jIzRMo=,15,23,male,3,20120615,20170922
bfmtzcFKj14UD8RytTtL6AZdC+BUL7gB6G+ZDY0vkUI=,15,28,female,9,20050926,20171028
Zdd2Rf9lWq0ilDaBn2WWg8y/BpusDhr733CuwduGnrc=,1,0,,4,20160824,20170208
6bC/+7YAKdkfscaK+zKkPOKKYj2J+e0LoEZglzL++lU=,6,21,female,3,20140415,20171016
VljXmzDJkWgrufk4SJXj5kTHQwU4hjt+wf27HVFF980=,4,25,female,9,20140228,20180409
c15ntK5juBpeYJDNKO26SmF0VYsAv6x+RCw28cCUyfY=,1,38,male,4,20161101,20170130
n+c9xCnU9YhrlDxyqXVrNkoGdDkwnj1coboczq8jbKU=,5,30,male,4,20160624,20171009
xwQ3yQJGY4DW5iG0CgnWkHUPZ3EmPuTBz8B4ePEoSNk=,1,0,,7,20110326,20171017
NwX1NaVlyw0jvfQNxLTcx9ztIUKVL/sjkccdAmMpfCA=,1,30,female,4,20161122,20170223
6RPYiadMRpkxxnoPGyD/Jq3H45fe+973pvSQbxYYVwA=,11,25,female,9,20141207,20171005
NaUkTGbC1hDxN1HVHHDw/ntWL2OsCLU/I8oen8axWjw=,1,0,,7,20140109,20170930
8nh2kLtJgupLij8k3d/P+gI5EZIL7aHul3dk/wMrkvE=,4,20,female,9,20110209,20170513
OYm3J1cSsv/6YdhmLigu03mTJ8RpRZTIN9V3nxNldD0=,22,34,male,3,20111223,20171113
AeHDZFn+zGgCoRyM3rYxWLxaPN07oPtudkt2fA/f+DU=,5,24,male,7,20140311,20170908
0/JUwPRRleg3ZGiOAfk9480j0zmNMRCuamusdhgeRbc=,1,0,,4,20170119,20170814
8h2evnlVW37+/g6PR4qUsA0dJtCWWeccFejv7bPK/yc=,4,29,male,9,20111119,20170924
XHaD+fGrgqbF3xtKlPuXs8Sw++aD8wySX9TgtF9yf/k=,5,25,male,9,20100728,20171010
0K/CVi9OwHBhb0qGpbNES5WhjTM+MuH0oephmsx0Yw0=,15,28,male,3,20131024,20171003
SZ5NNypqaTWljFO1HiVZwkw3713+rM9x/JNdJd8/fzc=,5,32,female,9,20110121,20170616
XKavSq8mf+T0Q1cMn+K4s1Z2RU0XddDzqo7KCw/ULtg=,1,0,,7,20120531,20170916
LLV9EGkCfKaDN3Ng6q1E3pFgEObJZ/C441hBBlYf5Uc=,1,0,,4,20160206,20170812
46EeVIBxA1RptzFhTAHpXFNFGsrvzU325Wr0ZMew6Kc=,1,0,,7,20101215,20170930
dgjzkF2Yg5tE6WtcA8xA8dEib64OxwpIin5RYKY5SuI=,4,22,female,3,20121221,20180426
u3l0bBAvw/rxuFtmjnFJ4DUL3tFHns9BmcNs7XGKSB4=,21,38,female,9,20141003,20170817
S2Pbj7oex6Rtn1Dp4zxqoVlSc+74XRhKAyDNgMZsveU=,13,22,male,4,20151025,20170816
mgrR49X0VStu6shIr2wa0G3XcHFR0Ib1Gg33vz60T6A=,1,0,,7,20161124,20170923
KSXxByMj6pfvgHHSW6mUyxZpJn86p5JueFjDnC+2AUs=,14,31,female,9,20110429,20180926
2a3A+ajDeDgM3C3ET3ejIZ6moZbOLab9e7+cj9qFyI4=,15,23,female,9,20121201,20170404
19ovx09iXk9PK4/hZHp0UCOTX8L/UVDfxTo12Ta0zz4=,13,0,,9,20150927,20170928
5R+7rrEh/g+AQp3doc+1bHPkdfwR4Md45UOcAKnM3tI=,3,18,male,9,20150329,20170911
vLxByA7aZphjbyKJAmw/41mqrNRZyxTeka43kSPaJVk=,13,0,,9,20140311,20170709
XrRzOiFk/NWGpM6AUJS02m5mwumhB1Sy7nePv9dt3eE=,15,29,male,9,20051117,20170930
w/CTxu7bu4AMHL4MkM90EE26nUtG+WBsU+d36L2Ezxw=,12,0,,4,20160310,20170915
Efbi8751M4CgFkZnROKx1WYCOlTyG5HOnXLsBF6gmfI=,1,0,,7,20130624,20171007
kWBKVtgBPG/UEw6/j83QyhZ7QSn3sHajElqFWB23GL8=,1,0,,7,20131204,20170930
mU7ELVg0/6YqQEXyvXcayF61ImLkRU0iibwujMpCKyw=,1,0,,7,20110307,20171001
64Ah+SRuhJMi2tJ9CU2uYR/ytfV8YAS+mVCv7/ULTuw=,1,0,,7,20160117,20170917
hEhYgNaX3k9hP3oNugTF/QyRZxCcr5yL8blrRF+zv/g=,5,19,male,7,20151228,20170930
zmUCIFM3UrPbzvyIyy3rwZ9kJE2GNw4rjiWarEuGfbg=,6,40,male,9,20110709,20171006
aGu+w4RD22Ox40fdTkPtWTCWwg1T6oVgIlZ+p0/jeL4=,6,17,female,3,20161023,20171004
yK5HcaBrhN0XEGXF6RvYjCgYAXmt7Ae5772yEDJvRwA=,1,0,,4,20160220,20170914
DZmCe26lz2DocDqco/zxBl7VSco2kgPstl/+8zZiWg8=,12,37,female,9,20161111,20171223
rGbXmjKDOsBV9n2LJEPtx4GcJS00c7Bs9ZFo6icxVJM=,13,23,male,9,20110705,20170919
wiBTbkTOpLNxoLmdIGDCxJ1aRSagICI07lxGqklbh8k=,15,24,female,9,20130111,20171012
E6H7r/GBhb896F8E6Gf0J9/YPWqviM/5ZeJcfqHdvs8=,14,35,male,9,20061030,20171004
8Y99+ek1rJVHXOieSPnHpNfoE/FcVG2H/xb7Iins3XA=,1,31,male,3,20141110,20170912
P083302hxXKTn14hbVrTCxrXmmy92J/GaM1ZnNc8mMA=,1,0,,7,20150713,20170913
edUdqpDRIHJgTSux6pmf743976+9oZZClOReLobrm4k=,1,0,,7,20170104,20171003
TITSOMTOuKk/9PFtxcnUwTcZxl5MotxaRV/TMgvqfYg=,13,24,,7,20160226,20170913
MpHsCCf3Y+u+cbviv0sHdin5LIGb3X8Qv5wbqllwS00=,1,0,,9,20160405,20170918
cF/VJmBHwhcqdd016oPP1wXBdWSjxEHEzwlhEn4+/4A=,15,21,female,3,20160104,20180405
mJFueE2CnrvbqLa9/XaBcu7ZATY1gELuyCx+WSy/KB4=,1,0,,7,20161217,20170916
qxxyPoi5vk8ARI7cnvzJJRg7vHkx6LpiU3Y/nOImgZA=,4,23,female,9,20110703,20171006
32cgPD/BbmvhjjVCmkovSHFfgeMIlUnJe5ILtcTLUr0=,4,26,male,4,20160417,20171003
iP3eF1In0rH61CfgVmWVYj4CgFcQQ0iVZG7MBA+Plgo=,22,27,female,3,20160229,20170930
cJ+2hH9XKdiBtzXWyk+UHjv4Hn00fTE4UivWNuPFgt8=,5,52,male,9,20070902,20171004
uhEkft9Ht4TsUF5wBkmmZbtbaIVESVfiUnMlxHYl0HI=,6,0,female,9,20121125,20170914
rdNI0wgxmcsOgjH0akX2/zzW8qbDZc45D681Mpq45jI=,13,36,female,7,20101210,20170910
el0apdNQdiNQOc+g6RIwKlKEymhYYIWcUgEueqNgDHc=,15,0,,9,20110210,20170218
QCa42CFICcllTCubrBTniOtbbaTfMl2J0kd+nFvJvvg=,15,0,,9,20150906,20171007
I/NE3GNmIRiTZoIJCq/ioIOzOI+qo430YtdsFFa6VCs=,4,0,,3,20131028,20170928
Uigz4lVMkS0JiUzt51D3FluM90HIO4RrlqbAMTBXZJQ=,1,0,,7,20160108,20171007
